                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7003,                 8.6606,                 4.2353,                  9e-05,                0.03061,                  8e-05,                  5e-05,                 3.2144,                 16.736,                 4.1572,             0.00012495,             0.00012495,             0.00012495
                      2,                  3.436,                 7.3428,                 4.1869,                  9e-05,                0.03061,                0.00118,                0.00026,                 3.2053,                 16.787,                 4.1478,             0.00025653,             0.00025653,             0.00025653
                      3,                 3.7389,                 8.0512,                 4.1626,                  9e-05,                0.03061,                0.00219,                0.00024,                 3.2583,                 16.328,                 4.1267,             0.00038634,             0.00038634,             0.00038634
                      4,                 3.5061,                  7.121,                 4.1218,                  9e-05,                0.03061,                0.00065,                0.00015,                 3.2716,                 16.233,                 4.0117,              0.0005144,              0.0005144,              0.0005144
                      5,                 3.5252,                 6.8433,                 4.0467,                  9e-05,                0.03061,                0.00017,                  7e-05,                  3.102,                 14.393,                 3.8997,              0.0006407,              0.0006407,              0.0006407
                      6,                 3.4419,                 7.0434,                 3.9826,                  8e-05,                 0.0102,                  5e-05,                  3e-05,                 2.9697,                 14.091,                 4.0936,             0.00076524,             0.00076524,             0.00076524
                      7,                 3.5708,                 6.5382,                 3.9794,                  9e-05,                 0.0102,                  5e-05,                  2e-05,                 3.3894,                 14.531,                 4.4141,             0.00080001,             0.00080001,             0.00080001
                      8,                 3.4809,                 6.5735,                 3.9059,                0.00013,                 0.0102,                  8e-05,                  2e-05,                 3.4046,                 13.207,                 4.0584,             0.00079452,             0.00079452,             0.00079452
                      9,                 3.4349,                  6.808,                 3.8092,                  9e-05,                0.03061,                0.00106,                0.00015,                 3.2762,                 11.291,                 3.9449,             0.00078902,             0.00078902,             0.00078902
                     10,                 3.3886,                 6.3799,                  3.828,                0.00012,                0.03061,                0.00071,                 0.0003,                 3.1031,                 11.476,                 3.9173,             0.00078352,             0.00078352,             0.00078352
                     11,                 3.5245,                  6.561,                 3.7332,                0.00017,                0.05442,                0.00064,                0.00016,                 3.1507,                 11.921,                 3.9504,             0.00077802,             0.00077802,             0.00077802
                     12,                 3.3356,                 6.3778,                 3.6749,                0.86325,                0.02381,                0.00114,                0.00034,                 3.1567,                 11.442,                  3.934,             0.00077252,             0.00077252,             0.00077252
